folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_conceptual,Conceptual standard score,"Domain from the Adaptive Behavior Assessment System, 3rd Ed. (ABAS-3). The ABAS-3 is a rating scale useful for assessing skills of daily living in individuals with developmental delays, autism spectrum disorder, intellectual disability, learning disabilities, neuropsychological disorders, and sensory or physical impairments. The Conceptual domain standard score summarizes performance across the Communication, Functional Academics, and Self-Direction skill areas. Standard score range (higher is better): 1) Extremely low: <=70; 2) Low: 71 to 79; 3) Below average: 80 to 89; 4) Average: 90 to 109; 5) Above average: 110 to 119; 6) High: >=120. [Harrison P, Oakland T. Manual for the Adaptive Behavior Assessment System, 3rd Edition. San Antonio Harcourt Assessment, Inc.](https://www.parinc.com/Products/Pkey/5)<br><br>[Search for all ABAS variables within this dataset](https://sleepdata.org/datasets/pats/variables?search=abas)",integer,,,abas;abas_conceptual,,,
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_form_date,Form created date ,,date,yyyy-mm-dd,,,,,
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_general_adaptive_composite,General Adaptive Composite standard score,"Summary score for the Adaptive Behavior Assessment System, 3rd Ed. (ABAS-3). The ABAS-3 is a rating scale useful for assessing skills of daily living in individuals with developmental delays, autism spectrum disorder, intellectual disability, learning disabilities, neuropsychological disorders, and sensory or physical impairments. The General Adaptive Composite (GAC) summarizes performance across all adaptive skill areas excluding Work. Standard score range (higher is better): 1) Extremely low: <=70; 2) Low: 71 to 79; 3) Below average: 80 to 89; 4) Average: 90 to 109; 5) Above average: 110 to 119; 6) High: >=120. [Harrison P, Oakland T. Manual for the Adaptive Behavior Assessment System, 3rd Edition. San Antonio Harcourt Assessment, Inc.](https://www.parinc.com/Products/Pkey/5)<br><br>[Search for all ABAS variables within this dataset](https://sleepdata.org/datasets/pats/variables?search=abas)",integer,,,abas;abas_gac,,,
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_practical,Practical standard score,"Domain from the Adaptive Behavior Assessment System, 3rd Ed. (ABAS-3). The ABAS-3 is a rating scale useful for assessing skills of daily living in individuals with developmental delays, autism spectrum disorder, intellectual disability, learning disabilities, neuropsychological disorders, and sensory or physical impairments. The Practical domain standard score summarizes performance across the Community Use, School Living, Health and Safety, and Self-Care skill areas. Standard score range (higher is better): 1) Extremely low: <=70; 2) Low: 71 to 79; 3) Below average: 80 to 89; 4) Average: 90 to 109; 5) Above average: 110 to 119; 6) High: >=120. [Harrison P, Oakland T. Manual for the Adaptive Behavior Assessment System, 3rd Edition. San Antonio Harcourt Assessment, Inc.](https://www.parinc.com/Products/Pkey/5)<br><br>[Search for all ABAS variables within this dataset](https://sleepdata.org/datasets/pats/variables?search=abas)",integer,,,abas;abas_practical,,,
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_social,Social standard score,"Domain from the Adaptive Behavior Assessment System, 3rd Ed. (ABAS-3). The ABAS-3 is a rating scale useful for assessing skills of daily living in individuals with developmental delays, autism spectrum disorder, intellectual disability, learning disabilities, neuropsychological disorders, and sensory or physical impairments. The Social domain standard score summarizes performance across the Leisure and Social skill areas. Standard score range (higher is better): 1) Extremely low: <=70; 2) Low: 71 to 79; 3) Below average: 80 to 89; 4) Average: 90 to 109; 5) Above average: 110 to 119; 6) High: >=120. [Harrison P, Oakland T. Manual for the Adaptive Behavior Assessment System, 3rd Edition. San Antonio Harcourt Assessment, Inc.](https://www.parinc.com/Products/Pkey/5)<br><br>[Search for all ABAS variables within this dataset](https://sleepdata.org/datasets/pats/variables?search=abas)",integer,,,abas;abas_social,,,
Sleep Monitoring/Actigraphy,actigraphy_scorer,Actigraphy scorer,,choices,,actigraphy_scorer,,,,
Sleep Monitoring/Actigraphy,actigraphy_type,Actigraph type,,choices,,actigraphy_type,,,,
Sociodemographics,anthro_age,Age at anthropometry measurement,,numeric,years,,,,TRUE,
Anthropometry,anthro_bmi,Calculated - Body mass index (BMI) (kg/m2),,numeric,kilograms per meter squared (kg/m2),,,anthro_weight_avg/(anthro_height_avg/100)^2,,
Anthropometry,anthro_bmi_percentile,Current BMI-for-age percentile (%),https://www.cdc.gov/growthcharts/percentile_data_files.htm,numeric,percentile (th),,,,,
Anthropometry,anthro_bmi_zscore,Current BMI-for-age z-score,https://www.cdc.gov/growthcharts/percentile_data_files.htm,numeric,,,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,anthro_bp_dia_1,Resting diastolic blood pressure (mmHg) - measurement 1,,integer,millimeters of mercury (mmHg),,,,,
Clinical Data/Vital Signs/Seated Blood Pressure,anthro_bp_dia_2,Resting diastolic blood pressure (mmHg) - measurement 2,,integer,millimeters of mercury (mmHg),,,,,
